Admin_district,Geodesic_precinct,Location,Municipal_district,Old_district
Kraków - Krowodrza,1,1,VI Bronowice,BRONOWICE WIELKIE
Kraków - Krowodrza,2,2,VI Bronowice,BRONOWICE WIELKIE
Kraków - Krowodrza,3,3,V Krowodrza,ŁOBZÓW
Kraków - Krowodrza,4,4,V Krowodrza,ŁOBZÓW
Kraków - Krowodrza,5,5,V Krowodrza,BRONOWICE WIELKIE
Kraków - Krowodrza,6,6,VI Bronowice,BRONOWICE WIELKIE
Kraków - Krowodrza,7,7,VII Zwierzyniec,WOLA JUSTOWSKA
Kraków - Krowodrza,8,8,VII Zwierzyniec,WOLA JUSTOWSKA
Kraków - Krowodrza,9,9,VII Zwierzyniec,WOLA JUSTOWSKA
Kraków - Krowodrza,10,10,VII Zwierzyniec,WOLA JUSTOWSKA
Kraków - Krowodrza,11,11,VII Zwierzyniec,WOLA JUSTOWSKA
Kraków - Krowodrza,12,12,V Krowodrza,SALWATOR
Kraków - Krowodrza,13,13,VII Zwierzyniec,SALWATOR
Kraków - Krowodrza,14,14,VII Zwierzyniec,SALWATOR
Kraków - Krowodrza,17,15,VII Zwierzyniec,OLSZANICA
Kraków - Krowodrza,19,16,VII Zwierzyniec,OLSZANICA
Kraków - Krowodrza,20,17,VII Zwierzyniec,OLSZANICA
Kraków - Krowodrza,21,18,VII Zwierzyniec,OLSZANICA
Kraków - Krowodrza,23,19,VII Zwierzyniec,OLSZANICA
Kraków - Krowodrza,25,20,IV Prądnik Biały,TONIE
Kraków - Krowodrza,28,21,IV Prądnik Biały,KROWODRZA GORKA
Kraków - Krowodrza,29,22,IV Prądnik Biały,KROWODRZA GORKA
Kraków - Krowodrza,30,23,IV Prądnik Biały,KROWODRZA GORKA
Kraków - Krowodrza,31,24,IV Prądnik Biały,TONIE
Kraków - Krowodrza,32,25,IV Prądnik Biały,TONIE
Kraków - Krowodrza,33,26,IV Prądnik Biały,TONIE
Kraków - Krowodrza,34,27,IV Prądnik Biały,TONIE
Kraków - Krowodrza,40,28,VI Bronowice,KROWODRZA
Kraków - Krowodrza,41,29,IV Prądnik Biały,KROWODRZA
Kraków - Krowodrza,42,30,IV Prądnik Biały,PRĄDNIK BIAŁY
Kraków - Krowodrza,43,31,IV Prądnik Biały,PRĄDNIK BIAŁY
Kraków - Krowodrza,44,32,IV Prądnik Biały,KROWODRZA
Kraków - Krowodrza,45,33,V Krowodrza,ŁOBZÓW
Kraków - Krowodrza,46,34,V Krowodrza,ŁOBZÓW
Kraków - Krowodrza,47,35,VI Bronowice,MYDLNIKI
Kraków - Krowodrza,48,36,VI Bronowice,MYDLNIKI
Kraków - Krowodrza,49,37,VI Bronowice,MYDLNIKI
Kraków - Krowodrza,51,38,VII Zwierzyniec,OLSZANICA
Kraków - Krowodrza,52,39,VII Zwierzyniec,OLSZANICA
Kraków - Krowodrza,53,40,VII Zwierzyniec,OLSZANICA
Kraków - Nowa Huta,1,41,XV Mistrzejowice,MISTRZEJOWICE
Kraków - Nowa Huta,2,42,XV Mistrzejowice,MISTRZEJOWICE
Kraków - Nowa Huta,3,43,XVII Wzgórza Krzesławickie,WZGORZA KRZESLAWICKIE
Kraków - Nowa Huta,4,44,XVII Wzgórza Krzesławickie,WZGORZA KRZESLAWICKIE
Kraków - Nowa Huta,5,45,XV Mistrzejowice,MISTRZEJOWICE
Kraków - Nowa Huta,6,46,XIV Czyżyny,CZYZYNY
Kraków - Nowa Huta,7,47,XIV Czyżyny,CZYZYNY
Kraków - Nowa Huta,8,48,XVI Bieńczyce,BIENCZYCE
Kraków - Nowa Huta,9,49,XVI Bieńczyce,BIENCZYCE
Kraków - Nowa Huta,10,50,XVII Wzgórza Krzesławickie,WZGORZA KRZESLAWICKIE
Kraków - Nowa Huta,11,51,XVII Wzgórza Krzesławickie,WZGORZA KRZESLAWICKIE
Kraków - Nowa Huta,12,52,XVII Wzgórza Krzesławickie,WZGORZA KRZESLAWICKIE
Kraków - Nowa Huta,18,53,XVII Wzgórza Krzesławickie,WZGORZA KRZESLAWICKIE
Kraków - Nowa Huta,32,54,XVIII Nowa Huta,PRZYLASEK
Kraków - Nowa Huta,36,55,XVIII Nowa Huta,PRZYLASEK
Kraków - Nowa Huta,44,56,XVIII Nowa Huta,STARA HUTA
Kraków - Nowa Huta,45,57,XVIII Nowa Huta,STARA HUTA
Kraków - Nowa Huta,47,58,XVIII Nowa Huta,STARA HUTA
Kraków - Nowa Huta,48,59,XVIII Nowa Huta,STARA HUTA
Kraków - Nowa Huta,49,60,XIV Czyżyny,CZYZYNY
Kraków - Nowa Huta,50,61,XVIII Nowa Huta,STARA HUTA
Kraków - Nowa Huta,51,62,XVIII Nowa Huta,STARA HUTA
Kraków - Nowa Huta,52,63,XIV Czyżyny,CZYZYNY
Kraków - Nowa Huta,54,64,XIV Czyżyny,STARE CZYŻYNY
Kraków - Nowa Huta,58,65,XVIII Nowa Huta,STARA HUTA
Kraków - Podgórze,3,66,VIII Dębniki,PYCHOWICE
Kraków - Podgórze,4,67,VIII Dębniki,PYCHOWICE
Kraków - Podgórze,5,68,VIII Dębniki,PYCHOWICE
Kraków - Podgórze,7,69,VIII Dębniki,RUCZAJ
Kraków - Podgórze,8,70,VIII Dębniki,DĘBNIKI
Kraków - Podgórze,9,71,VIII Dębniki,DĘBNIKI
Kraków - Podgórze,10,72,VIII Dębniki,DĘBNIKI
Kraków - Podgórze,11,73,VIII Dębniki,DĘBNIKI
Kraków - Podgórze,12,74,XIII Podgórze,STARE PODGÓRZE
Kraków - Podgórze,13,75,XIII Podgórze,STARE PODGÓRZE
Kraków - Podgórze,14,76,XIII Podgórze,STARE PODGÓRZE
Kraków - Podgórze,15,77,XIII Podgórze,PŁASZÓW
Kraków - Podgórze,16,78,XIII Podgórze,PŁASZÓW
Kraków - Podgórze,17,79,XIII Podgórze,PŁASZÓW
Kraków - Podgórze,18,80,XIII Podgórze,PŁASZÓW
Kraków - Podgórze,19,81,XIII Podgórze,PŁASZÓW
Kraków - Podgórze,20,82,XIII Podgórze,PŁASZÓW
Kraków - Podgórze,21,83,XIII Podgórze,PŁASZÓW
Kraków - Podgórze,25,84,XII Bieżanów-Prokocim,RYBITWY
Kraków - Podgórze,28,85,XIII Podgórze,PŁASZÓW
Kraków - Podgórze,29,86,XIII Podgórze,ŁAGIEWNIKI
Kraków - Podgórze,30,87,XIII Podgórze,ŁAGIEWNIKI
Kraków - Podgórze,31,88,VIII Dębniki,RUCZAJ
Kraków - Podgórze,32,89,IX Łagiewniki-Borek Fałęcki,ŁAGIEWNIKI
Kraków - Podgórze,33,90,IX Łagiewniki-Borek Fałęcki,ŁAGIEWNIKI
Kraków - Podgórze,34,91,VIII Dębniki,RUCZAJ
Kraków - Podgórze,35,92,VIII Dębniki,RUCZAJ
Kraków - Podgórze,36,93,VIII Dębniki,PYCHOWICE
Kraków - Podgórze,37,94,VIII Dębniki,PYCHOWICE
Kraków - Podgórze,38,95,VIII Dębniki,PYCHOWICE
Kraków - Podgórze,40,96,VIII Dębniki,PYCHOWICE
Kraków - Podgórze,41,97,VIII Dębniki,RUCZAJ
Kraków - Podgórze,42,98,VIII Dębniki,RUCZAJ
Kraków - Podgórze,43,99,IX Łagiewniki-Borek Fałęcki,BOREK FAŁĘCKI
Kraków - Podgórze,44,100,IX Łagiewniki-Borek Fałęcki,BOREK FAŁĘCKI
Kraków - Podgórze,46,101,IX Łagiewniki-Borek Fałęcki,BOREK FAŁĘCKI
Kraków - Podgórze,47,102,XI Podgórze Duchackie,WOLA DUCHACKA
Kraków - Podgórze,48,103,XI Podgórze Duchackie,WOLA DUCHACKA
Kraków - Podgórze,49,104,XI Podgórze Duchackie,WOLA DUCHACKA
Kraków - Podgórze,50,105,XII Bieżanów-Prokocim,PROKOCIM
Kraków - Podgórze,51,106,XIII Podgórze,STARY PROKOCIM
Kraków - Podgórze,52,107,XIII Podgórze,STARY PROKOCIM
Kraków - Podgórze,53,108,XII Bieżanów-Prokocim,PROKOCIM
Kraków - Podgórze,55,109,XII Bieżanów-Prokocim,PROKOCIM
Kraków - Podgórze,56,110,XII Bieżanów-Prokocim,PROKOCIM
Kraków - Podgórze,57,111,XII Bieżanów-Prokocim,BIEŻANÓW
Kraków - Podgórze,58,112,XII Bieżanów-Prokocim,BIEŻANÓW
Kraków - Podgórze,60,113,XI Podgórze Duchackie,WOLA DUCHACKA
Kraków - Podgórze,61,114,XI Podgórze Duchackie,WOLA DUCHACKA
Kraków - Podgórze,62,115,X Swoszowice,SWOSZOWICE
Kraków - Podgórze,63,116,XI Podgórze Duchackie,WOLA DUCHACKA
Kraków - Podgórze,64,117,X Swoszowice,SWOSZOWICE
Kraków - Podgórze,65,118,XI Podgórze Duchackie,WOLA DUCHACKA
Kraków - Podgórze,67,119,X Swoszowice,BOREK FAŁĘCKI
Kraków - Podgórze,68,120,X Swoszowice,BOREK FAŁĘCKI
Kraków - Podgórze,69,121,X Swoszowice,BOREK FAŁĘCKI
Kraków - Podgórze,71,122,VIII Dębniki,SKOTNIKI
Kraków - Podgórze,73,123,VIII Dębniki,SKOTNIKI
Kraków - Podgórze,74,124,VIII Dębniki,TYNIEC
Kraków - Podgórze,75,125,VIII Dębniki,TYNIEC
Kraków - Podgórze,79,126,VIII Dębniki,TYNIEC
Kraków - Podgórze,81,127,VIII Dębniki,OPATKOWICE
Kraków - Podgórze,84,128,VIII Dębniki,OPATKOWICE
Kraków - Podgórze,85,129,VIII Dębniki,OPATKOWICE
